County Name,State,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Percent adults fully vaccinated against COVID-19 (as of 6/10/21)
Coffey County Kansas,KANSAS,14.48%,19.76%,8.85%,45.3%
Lee County Kentucky,KENTUCKY,21.81%,28.3%,14.63%,39.3%
Lawrence County Kentucky,KENTUCKY,19.75%,24.92%,13.02%,36.1%
Lewis County Kentucky,KENTUCKY,21.05%,27.07%,13.91%,27.9%
Laurel County Kentucky,KENTUCKY,22.1%,27.96%,15.03%,33.1%
Lincoln County Kentucky,KENTUCKY,18.89%,23.92%,12.51%,35.3%
Letcher County Kentucky,KENTUCKY,21.81%,28.3%,14.63%,45%
Livingston County Kentucky,KENTUCKY,19.72%,25.32%,13.14%,41%
Leslie County Kentucky,KENTUCKY,21.81%,28.3%,14.63%,41.6%
Baltimore city Maryland,MARYLAND,8%,12.64%,4.15%,50.4%
Washington County Maryland,MARYLAND,9.03%,13.1%,4.8%,49.7%
Wicomico County Maryland,MARYLAND,8.61%,12.82%,4.57%,47.6%
Worcester County Maryland,MARYLAND,8.61%,12.82%,4.57%,61.2%
Bristol County Massachusetts,MASSACHUSETTS,5.72%,8.53%,4.17%,54.5%
Suffolk County Massachusetts,MASSACHUSETTS,4.42%,6.93%,3.17%,61.6%
Worcester County Massachusetts,MASSACHUSETTS,4.9%,7.29%,3.56%,59.3%
Allegan County Michigan,MICHIGAN,10.72%,18.41%,6.64%,47.4%
Alcona County Michigan,MICHIGAN,9.76%,17.17%,6%,52.6%
Alger County Michigan,MICHIGAN,10.87%,19.03%,6.65%,58.3%
Barry County Michigan,MICHIGAN,9.62%,17.11%,5.93%,44.2%
Baraga County Michigan,MICHIGAN,9.5%,16.9%,5.84%,49.3%
Arenac County Michigan,MICHIGAN,10.33%,18.08%,6.45%,48.1%
Bay County Michigan,MICHIGAN,9.32%,16.34%,5.71%,52.9%
Clare County Michigan,MICHIGAN,11.02%,19.83%,6.88%,41.6%
Cass County Michigan,MICHIGAN,9.9%,17.37%,6.08%,37.7%
Clinton County Michigan,MICHIGAN,8.42%,14.6%,5.07%,53.1%
Eaton County Michigan,MICHIGAN,8.42%,14.6%,5.07%,51.2%
Dickinson County Michigan,MICHIGAN,9.5%,16.9%,5.84%,61.9%
Gogebic County Michigan,MICHIGAN,9.5%,16.9%,5.84%,57.3%
Charlevoix County Michigan,MICHIGAN,10.25%,17.74%,6.3%,61.8%
Gladwin County Michigan,MICHIGAN,10.33%,18.08%,6.45%,45.1%
Delta County Michigan,MICHIGAN,10.87%,19.03%,6.65%,58.3%
Cheboygan County Michigan,MICHIGAN,9.76%,17.17%,6%,47%
Grand Traverse County Michigan,MICHIGAN,8.82%,15.3%,5.37%,63.9%
Genesee County Michigan,MICHIGAN,10.73%,19.64%,6.58%,45.1%
Chippewa County Michigan,MICHIGAN,10.87%,19.03%,6.65%,65.8%
Crawford County Michigan,MICHIGAN,9.76%,17.17%,6%,45.1%
Kalkaska County Michigan,MICHIGAN,10.25%,17.74%,6.3%,45.3%
Lake County Michigan,MICHIGAN,10.47%,18.16%,6.44%,54.6%
Lapeer County Michigan,MICHIGAN,9.87%,17.11%,6.11%,42%
Kent County Michigan,MICHIGAN,9.06%,16.03%,5.42%,56%
Lenawee County Michigan,MICHIGAN,10.73%,18.92%,6.68%,44.5%
Livingston County Michigan,MICHIGAN,8.15%,13.85%,4.99%,54.9%
Oakland County Michigan,MICHIGAN,7.19%,12.61%,4.36%,60.1%
Menominee County Michigan,MICHIGAN,10.87%,19.03%,6.65%,61.8%
Oscoda County Michigan,MICHIGAN,9.76%,17.17%,6%,40.6%
Oceana County Michigan,MICHIGAN,10.47%,18.16%,6.44%,49.5%
Mecosta County Michigan,MICHIGAN,11.25%,19.74%,6.99%,36.4%
Montcalm County Michigan,MICHIGAN,11.25%,19.74%,6.99%,38%
Monroe County Michigan,MICHIGAN,9.83%,16.85%,6.04%,40%
Osceola County Michigan,MICHIGAN,11.25%,19.74%,6.99%,39.1%
Montmorency County Michigan,MICHIGAN,9.76%,17.17%,6%,49.2%
Ogemaw County Michigan,MICHIGAN,10.33%,18.08%,6.45%,41.6%
Gage County Nebraska,NEBRASKA,8.91%,13.54%,5.55%,37.8%
Cherry County Nebraska,NEBRASKA,8.42%,12.87%,5.16%,32.2%
Dundy County Nebraska,NEBRASKA,8.7%,13.18%,5.37%,32.7%
Cheyenne County Nebraska,NEBRASKA,8.42%,12.87%,5.16%,39.6%
Seward County Nebraska,NEBRASKA,8.91%,13.54%,5.55%,46.5%
Thayer County Nebraska,NEBRASKA,8.91%,13.54%,5.55%,42.9%
Pierce County Nebraska,NEBRASKA,8.48%,12.88%,5.21%,38.1%
Saline County Nebraska,NEBRASKA,8.91%,13.54%,5.55%,43.7%
Sheridan County Nebraska,NEBRASKA,8.42%,12.87%,5.16%,29%
Orleans County New York,NEW YORK,8.51%,15.58%,6.03%,45.3%
Montgomery County New York,NEW YORK,7.96%,14.89%,5.53%,58.6%
Rensselaer County New York,NEW YORK,6.78%,12.73%,4.76%,61.9%
Oswego County New York,NEW YORK,7.98%,14.77%,5.6%,51.6%
Oneida County New York,NEW YORK,7.4%,13.85%,5.2%,54.8%
Queens County New York,NEW YORK,5.1%,10.14%,3.6%,61.1%
Niagara County New York,NEW YORK,7.21%,13.43%,5.01%,57.4%
Otsego County New York,NEW YORK,7.22%,13.59%,5.09%,52.4%
Onondaga County New York,NEW YORK,6.55%,12.41%,4.53%,65.9%
New York County New York,NEW YORK,4.57%,8.94%,3.13%,64.9%
Ontario County New York,NEW YORK,6.63%,12.13%,4.65%,62.1%
Putnam County New York,NEW YORK,5.78%,10.43%,4.08%,61.9%
Orange County New York,NEW YORK,6.67%,12.51%,4.71%,56.4%
Nassau County New York,NEW YORK,4.77%,8.68%,3.43%,66.1%
Cuyahoga County Ohio,OHIO,12.19%,17.76%,7.13%,57%
Fairfield County Ohio,OHIO,13.35%,18.26%,7.96%,51.6%
Darke County Ohio,OHIO,14.3%,19.69%,8.54%,36.4%
Defiance County Ohio,OHIO,14.16%,19.76%,8.48%,46.2%
Delaware County Ohio,OHIO,10.31%,13.82%,6.11%,70.5%
Coshocton County Ohio,OHIO,17.53%,23.7%,11.3%,35.3%
Crawford County Ohio,OHIO,14.68%,20.64%,8.8%,41.8%
Erie County Ohio,OHIO,13.04%,18.14%,7.7%,54%
Tuscarawas County Ohio,OHIO,15.8%,22.01%,9.7%,40.6%
Wilson County Tennessee,TENNESSEE,11.69%,16.96%,7.22%,40.6%
Anderson County Texas,TEXAS,13.98%,21.05%,9.48%,
Archer County Texas,TEXAS,12.93%,18.98%,8.7%,
Andrews County Texas,TEXAS,11.66%,17.65%,7.89%,
White County Tennessee,TENNESSEE,13.82%,20.64%,8.79%,34.5%
Angelina County Texas,TEXAS,12.5%,19.35%,8.36%,
Aransas County Texas,TEXAS,11.83%,18%,7.72%,
Williamson County Tennessee,TENNESSEE,8.64%,12.33%,5.36%,56.4%
Bandera County Texas,TEXAS,11.46%,17.4%,7.56%,
Bexar County Texas,TEXAS,10.05%,15.87%,6.41%,
Bailey County Texas,TEXAS,11.43%,17.58%,7.66%,
Baylor County Texas,TEXAS,12.93%,18.98%,8.7%,
Cochran County Texas,TEXAS,11.43%,17.58%,7.66%,
Crockett County Texas,TEXAS,12.35%,18.73%,8.22%,
Coke County Texas,TEXAS,12.35%,18.73%,8.22%,
Colorado County Texas,TEXAS,11.14%,17.04%,7.38%,
Collingsworth County Texas,TEXAS,12.41%,18.83%,8.24%,
Cooke County Texas,TEXAS,13.17%,19.45%,8.81%,
Concho County Texas,TEXAS,12.35%,18.73%,8.22%,
Coryell County Texas,TEXAS,12.64%,19.29%,8.47%,
Collin County Texas,TEXAS,8.3%,12.34%,5.42%,
Cottle County Texas,TEXAS,12.93%,18.98%,8.7%,
Comanche County Texas,TEXAS,12.78%,19.01%,8.6%,
Coleman County Texas,TEXAS,12.78%,19.01%,8.6%,
Clay County Texas,TEXAS,12.93%,18.98%,8.7%,
Crane County Texas,TEXAS,11.66%,17.65%,7.89%,
Comal County Texas,TEXAS,9.37%,13.69%,6.19%,
Culberson County Texas,TEXAS,11.66%,17.65%,7.89%,
Guadalupe County Texas,TEXAS,10.24%,15.43%,6.67%,
Gray County Texas,TEXAS,12.41%,18.83%,8.24%,
Grimes County Texas,TEXAS,12.25%,18.64%,8.27%,
Gregg County Texas,TEXAS,12.65%,19.24%,8.51%,
Grayson County Texas,TEXAS,13.17%,19.45%,8.81%,
Hardin County Texas,TEXAS,13.38%,19.49%,8.99%,
Harris County Texas,TEXAS,10.57%,16.69%,6.91%,
Harrison County Texas,TEXAS,12.76%,19.01%,8.61%,
Hardeman County Texas,TEXAS,12.93%,18.98%,8.7%,
Lampasas County Texas,TEXAS,12.64%,19.29%,8.47%,
Lamb County Texas,TEXAS,11.43%,17.58%,7.66%,
Leon County Texas,TEXAS,12.25%,18.64%,8.27%,
Lee County Texas,TEXAS,12.4%,18.8%,8.27%,
Liberty County Texas,TEXAS,13.77%,20.28%,9.29%,
Lavaca County Texas,TEXAS,11.34%,17.09%,7.62%,
La Salle County Texas,TEXAS,10.7%,17.24%,7.05%,
Limestone County Texas,TEXAS,12.48%,18.8%,8.5%,
Live Oak County Texas,TEXAS,11.46%,18.67%,7.42%,
Llano County Texas,TEXAS,12.64%,19.29%,8.47%,
Marion County Texas,TEXAS,12.76%,19.01%,8.61%,
Montague County Texas,TEXAS,12.93%,18.98%,8.7%,
Mitchell County Texas,TEXAS,12.78%,19.01%,8.6%,
Medina County Texas,TEXAS,11.46%,17.4%,7.56%,
Madison County Texas,TEXAS,12.25%,18.64%,8.27%,
Menard County Texas,TEXAS,12.35%,18.73%,8.22%,
Midland County Texas,TEXAS,10.34%,15.64%,6.7%,
Mason County Texas,TEXAS,12.35%,18.73%,8.22%,
McMullen County Texas,TEXAS,11.46%,18.67%,7.42%,
Matagorda County Texas,TEXAS,11.14%,17.04%,7.38%,
Milam County Texas,TEXAS,12.25%,18.64%,8.27%,
Montgomery County Texas,TEXAS,10.86%,15.85%,7.25%,
Martin County Texas,TEXAS,12.35%,18.73%,8.22%,
Mills County Texas,TEXAS,12.64%,19.29%,8.47%,
Maverick County Texas,TEXAS,10.7%,17.24%,7.05%,
Reeves County Texas,TEXAS,11.66%,17.65%,7.89%,
Refugio County Texas,TEXAS,11.83%,18%,7.72%,
Parmer County Texas,TEXAS,12.41%,18.83%,8.24%,
Randall County Texas,TEXAS,10.21%,15.21%,6.67%,
Reagan County Texas,TEXAS,12.35%,18.73%,8.22%,
Parker County Texas,TEXAS,11.98%,17.16%,8.11%,
Potter County Texas,TEXAS,12.81%,20.07%,8.64%,
Real County Texas,TEXAS,10.7%,17.24%,7.05%,
Panola County Texas,TEXAS,12.82%,19.18%,8.71%,
Presidio County Texas,TEXAS,11.66%,17.65%,7.89%,
Polk County Texas,TEXAS,13.65%,20.6%,9.3%,
Red River County Texas,TEXAS,12.83%,19.37%,8.66%,
Rains County Texas,TEXAS,12.85%,18.74%,8.74%,
Pecos County Texas,TEXAS,11.66%,17.65%,7.89%,
Scurry County Texas,TEXAS,12.78%,19.01%,8.6%,
Shackelford County Texas,TEXAS,12.78%,19.01%,8.6%,
San Jacinto County Texas,TEXAS,13.65%,20.6%,9.3%,
San Patricio County Texas,TEXAS,11.83%,18%,7.72%,
Shelby County Texas,TEXAS,14.28%,21.69%,9.83%,
San Saba County Texas,TEXAS,12.64%,19.29%,8.47%,
Schleicher County Texas,TEXAS,12.35%,18.73%,8.22%,
Smith County Texas,TEXAS,11.6%,17.66%,7.68%,
Stonewall County Texas,TEXAS,12.78%,19.01%,8.6%,
Sterling County Texas,TEXAS,12.35%,18.73%,8.22%,
Sutton County Texas,TEXAS,12.35%,18.73%,8.22%,
Webb County Texas,TEXAS,10.39%,16.63%,6.74%,
Travis County Texas,TEXAS,9.16%,13.91%,5.88%,
King William County Virginia,VIRGINIA,5.81%,11.4%,3.99%,32.1%
Lancaster County Virginia,VIRGINIA,6.13%,12.35%,4.24%,35.6%
Isle of Wight County Virginia,VIRGINIA,6.38%,13.01%,4.34%,15.4%
Lunenburg County Virginia,VIRGINIA,7.14%,14.74%,4.97%,33.5%
Louisa County Virginia,VIRGINIA,6.11%,12.13%,4.23%,3.1%
James City County Virginia,VIRGINIA,4.81%,9.73%,3.28%,7.3%
Henrico County Virginia,VIRGINIA,5.16%,10.72%,3.46%,21.3%
King and Queen County Virginia,VIRGINIA,6.13%,12.35%,4.24%,26.7%
Loudoun County Virginia,VIRGINIA,3.71%,7.18%,2.58%,48.9%
Henry County Virginia,VIRGINIA,6.72%,13.88%,4.61%,14.4%
Lee County Virginia,VIRGINIA,8.04%,15.96%,5.56%,37.2%
King George County Virginia,VIRGINIA,6.17%,12.31%,4.21%,15.7%
Madison County Virginia,VIRGINIA,6.12%,11.95%,4.17%,43.1%
Highland County Virginia,VIRGINIA,6.78%,13.59%,4.67%,52.7%
Chesapeake city Virginia,VIRGINIA,6.13%,12.72%,4.19%,11.9%
Danville city Virginia,VIRGINIA,6.72%,13.88%,4.61%,0.1%
Charlottesville city Virginia,VIRGINIA,5.09%,10.36%,3.49%,6.1%
Colonial Heights city Virginia,VIRGINIA,6.82%,14.44%,4.69%,0.8%
Fairfax city Virginia,VIRGINIA,3.75%,7.55%,2.64%,7.3%
Franklin city Virginia,VIRGINIA,6.38%,13.01%,4.34%,
Fredericksburg city Virginia,VIRGINIA,5.76%,11.74%,3.95%,4.7%
Lynchburg city Virginia,VIRGINIA,6.68%,14.05%,4.57%,0.7%
Poquoson city Virginia,VIRGINIA,4.81%,9.73%,3.28%,
Petersburg city Virginia,VIRGINIA,6.82%,14.44%,4.69%,2.4%
Norton city Virginia,VIRGINIA,8.04%,15.96%,5.56%,
Salem city Virginia,VIRGINIA,6.76%,14.06%,4.48%,5.3%
Williamsburg city Virginia,VIRGINIA,4.81%,9.73%,3.28%,3.1%
Staunton city Virginia,VIRGINIA,6.78%,13.59%,4.67%,1.7%
Waynesboro city Virginia,VIRGINIA,6.78%,13.59%,4.67%,0.9%
Radford city Virginia,VIRGINIA,6.34%,13.16%,4.32%,7.5%
Suffolk city Virginia,VIRGINIA,6.38%,13.01%,4.34%,27.9%
Richmond city Virginia,VIRGINIA,6.11%,13.25%,4.04%,14.6%
Virginia Beach city Virginia,VIRGINIA,5.5%,11.4%,3.68%,36.8%
Roanoke city Virginia,VIRGINIA,6.76%,14.06%,4.48%,7.8%
Cowlitz County Washington,WASHINGTON,8.33%,13.3%,6.06%,51.8%
Grant County Washington,WASHINGTON,8.49%,13.76%,6.21%,47.5%
Kitsap County Washington,WASHINGTON,7.31%,11.53%,5.23%,53.5%
Grays Harbor County Washington,WASHINGTON,8.21%,12.8%,5.99%,50.1%
Pacific County Washington,WASHINGTON,8.33%,13.3%,6.06%,47.6%
Burnett County Wisconsin,WISCONSIN,15.28%,20.39%,9.06%,51.9%
Tyler County West Virginia,WEST VIRGINIA,10.72%,17.1%,8.22%,17.5%
Barron County Wisconsin,WISCONSIN,16.46%,21.64%,10.04%,49.5%
Wetzel County West Virginia,WEST VIRGINIA,10.72%,17.1%,8.22%,8.2%
Calumet County Wisconsin,WISCONSIN,14.83%,19.55%,8.78%,50.1%
Crawford County Wisconsin,WISCONSIN,16.11%,21.26%,9.59%,53.4%
Columbia County Wisconsin,WISCONSIN,15.46%,20.19%,9.24%,58.7%
Sheridan County Wyoming,WYOMING,20.5%,26.71%,14.72%,45%
Uinta County Wyoming,WYOMING,21.84%,28.43%,15.84%,38.8%
Platte County Wyoming,WYOMING,22.83%,29.43%,16.87%,35.5%
Teton County Wyoming,WYOMING,20.5%,26.71%,14.72%,78.9%
Natrona County Wyoming,WYOMING,22.51%,29.45%,16.4%,37.2%
Weston County Wyoming,WYOMING,22.83%,29.43%,16.87%,31.1%
Sweetwater County Wyoming,WYOMING,21.84%,28.43%,15.84%,34.8%
Niobrara County Wyoming,WYOMING,22.83%,29.43%,16.87%,26.2%
Washakie County Wyoming,WYOMING,22.83%,29.43%,16.87%,36.4%
Sublette County Wyoming,WYOMING,21.84%,28.43%,15.84%,27.5%
Park County Wyoming,WYOMING,20.5%,26.71%,14.72%,41.7%
Anchorage Municipality Alaska,ALASKA,16.48%,19.81%,11.89%,54.2%
Greene County Arkansas,ARKANSAS,21.34%,26.31%,13.91%,33.8%
Greenlee County Arizona,ARIZONA,16.38%,24.42%,12.52%,41%
Autauga County Alabama,ALABAMA,16.85%,22.33%,12.72%,28.8%
Prince of Wales-Hyder Census Area Alaska,ALASKA,23.61%,28.84%,17.04%,47.4%
Boone County Arkansas,ARKANSAS,20.42%,24.45%,13.46%,28.4%
Bullock County Alabama,ALABAMA,16.76%,23.37%,12.74%,38.2%
Clark County Arkansas,ARKANSAS,20.31%,25.02%,13.3%,37.5%
Chilton County Alabama,ALABAMA,18.06%,24%,13.83%,24%
Russell County Alabama,ALABAMA,16.76%,23.37%,12.74%,28.4%
Independence County Arkansas,ARKANSAS,21.77%,26.54%,14.52%,28%
Lowndes County Alabama,ALABAMA,16.85%,22.33%,12.72%,35.3%
DeKalb County Alabama,ALABAMA,18.98%,24.59%,14.6%,23.9%
Lamar County Alabama,ALABAMA,18.55%,24.04%,14.31%,34.5%
Elmore County Alabama,ALABAMA,16.85%,22.33%,12.72%,31.7%
Perry County Alabama,ALABAMA,18.08%,25.26%,13.9%,37.4%
Cleburne County Alabama,ALABAMA,17.83%,23.5%,13.68%,25%
Yuma County Arizona,ARIZONA,14.75%,23.52%,11.22%,51.9%
Conway County Arkansas,ARKANSAS,20.91%,25.76%,13.78%,44.2%
Crenshaw County Alabama,ALABAMA,17.58%,23.04%,13.43%,27.1%
Marion County Alabama,ALABAMA,18.33%,23.83%,14.12%,28.1%
Wrangell City and Borough Alaska,ALASKA,23.61%,28.84%,17.04%,56.2%
St. Clair County Alabama,ALABAMA,18.54%,23.62%,14.16%,28.5%
Kenai Peninsula Borough Alaska,ALASKA,18.6%,21.85%,13.73%,43.5%
Franklin County Alabama,ALABAMA,17.38%,22.9%,13.25%,35.5%
Pima County Arizona,ARIZONA,13.71%,21.36%,10.32%,54.5%
Clay County Arkansas,ARKANSAS,21.34%,26.31%,13.91%,37.6%
Nome Census Area Alaska,ALASKA,23.61%,28.84%,17.04%,74.8%
Lafayette County Arkansas,ARKANSAS,21.12%,25.89%,13.77%,27.8%
Drew County Arkansas,ARKANSAS,22.37%,27.67%,14.95%,37%
Sitka City and Borough Alaska,ALASKA,23.61%,28.84%,17.04%,71%
Faulkner County Arkansas,ARKANSAS,20.95%,25.56%,13.59%,38.8%
Bradley County Arkansas,ARKANSAS,22.37%,27.67%,14.95%,44.8%
Baldwin County Alabama,ALABAMA,15.44%,19.88%,11.69%,33.6%
Fairbanks North Star Borough Alaska,ALASKA,18.97%,22.96%,13.62%,43.7%
Butler County Alabama,ALABAMA,17.58%,23.04%,13.43%,29.8%
Calhoun County Arkansas,ARKANSAS,19.67%,24.79%,12.96%,26.5%
North Slope Borough Alaska,ALASKA,23.61%,28.84%,17.04%,35.2%
La Paz County Arizona,ARIZONA,15.37%,23.07%,11.91%,40.3%
Fayette County Alabama,ALABAMA,18.55%,24.04%,14.31%,27.4%
Lauderdale County Alabama,ALABAMA,17.38%,22.9%,13.25%,37.2%
Cullman County Alabama,ALABAMA,18.05%,23.13%,13.79%,30.5%
Grant County Arkansas,ARKANSAS,20.41%,25.66%,13.4%,34.6%
Henry County Alabama,ALABAMA,17.68%,23.52%,13.44%,34.8%
Valdez-Cordova Census Area Alaska,ALASKA,18.97%,22.96%,13.62%,
Cochise County Arizona,ARIZONA,14.1%,22.3%,10.76%,47.5%
Cherokee County Alabama,ALABAMA,17.83%,23.5%,13.68%,25.4%
Pickens County Alabama,ALABAMA,16.87%,22.16%,12.74%,33.7%
Howard County Arkansas,ARKANSAS,21.54%,26.53%,14.29%,38.6%
Yavapai County Arizona,ARIZONA,13.71%,20.47%,10.53%,37.2%
Columbia County Arkansas,ARKANSAS,19.67%,24.79%,12.96%,33.8%
Juneau City and Borough Alaska,ALASKA,18.97%,22.96%,13.62%,68.8%
Apache County Arizona,ARIZONA,21.05%,31.97%,15.86%,66.3%
Clay County Alabama,ALABAMA,17.83%,23.5%,13.68%,30.3%
Cross County Arkansas,ARKANSAS,22.79%,28.57%,15.2%,38.5%
Limestone County Alabama,ALABAMA,16%,20.43%,12.07%,29.1%
Franklin County Arkansas,ARKANSAS,21.54%,26.53%,14.29%,38.1%
Dillingham Census Area Alaska,ALASKA,23.61%,28.84%,17.04%,49.3%
Crittenden County Arkansas,ARKANSAS,21.68%,27.26%,14.17%,30.7%
Navajo County Arizona,ARIZONA,21.05%,31.97%,15.86%,53.9%
Barbour County Alabama,ALABAMA,16.76%,23.37%,12.74%,25.7%
Hale County Alabama,ALABAMA,18.08%,25.26%,13.9%,47.8%
Houston County Alabama,ALABAMA,17.68%,23.52%,13.44%,32.5%
Lawrence County Arkansas,ARKANSAS,21.34%,26.31%,13.91%,32.7%
Marengo County Alabama,ALABAMA,18.08%,25.26%,13.9%,40.9%
Conecuh County Alabama,ALABAMA,17.35%,23.57%,13.37%,31.2%
Dale County Alabama,ALABAMA,17.68%,23.52%,13.44%,40.6%
Madison County Alabama,ALABAMA,14.5%,19.26%,10.9%,47.2%
Carroll County Arkansas,ARKANSAS,20.42%,24.45%,13.46%,34.8%
Etowah County Alabama,ALABAMA,17.97%,23.74%,13.64%,30.3%
Bristol Bay Borough Alaska,ALASKA,23.61%,28.84%,17.04%,86.5%
Clarke County Alabama,ALABAMA,17.35%,23.57%,13.37%,35.5%
Pike County Alabama,ALABAMA,16.76%,23.37%,12.74%,29.3%
Jackson County Arkansas,ARKANSAS,22.65%,27.77%,15.09%,30.1%
Monroe County Alabama,ALABAMA,17.35%,23.57%,13.37%,30.1%
Northwest Arctic Borough Alaska,ALASKA,23.61%,28.84%,17.04%,57.9%
Baxter County Arkansas,ARKANSAS,20.42%,24.45%,13.46%,37.3%
Kusilvak Census Area Alaska,ALASKA,23.61%,28.84%,17.04%,
Hoonah-Angoon Census Area Alaska,ALASKA,23.61%,28.84%,17.04%,65.6%
Calhoun County Alabama,ALABAMA,17.95%,23.54%,13.72%,34.1%
Lawrence County Alabama,ALABAMA,17.13%,22.21%,13.03%,37.2%
Coconino County Arizona,ARIZONA,16.26%,24.94%,12.27%,60.7%
Maricopa County Arizona,ARIZONA,13.9%,21.22%,10.49%,43.6%
Hot Spring County Arkansas,ARKANSAS,20.31%,25.02%,13.3%,32.3%
Southeast Fairbanks Census Area Alaska,ALASKA,18.97%,22.96%,13.62%,28.3%
Santa Cruz County Arizona,ARIZONA,14.1%,22.3%,10.76%,82.3%
Dallas County Arkansas,ARKANSAS,19.67%,24.79%,12.96%,43.8%
Fulton County Arkansas,ARKANSAS,21.77%,26.54%,14.52%,26%
Bibb County Alabama,ALABAMA,18.08%,25.26%,13.9%,22.2%
Kodiak Island Borough Alaska,ALASKA,23.61%,28.84%,17.04%,60.8%
Jackson County Alabama,ALABAMA,18.98%,24.59%,14.6%,36.1%
Ashley County Arkansas,ARKANSAS,22.37%,27.67%,14.95%,38%
Cleveland County Arkansas,ARKANSAS,22.37%,27.67%,14.95%,39.5%
Jefferson County Arkansas,ARKANSAS,20.41%,25.66%,13.4%,29%
Mobile County Alabama,ALABAMA,16.77%,22.88%,12.63%,34.7%
Coosa County Alabama,ALABAMA,18.06%,24%,13.83%,30.8%
Yukon-Koyukuk Census Area Alaska,ALASKA,23.61%,28.84%,17.04%,69.7%
Montgomery County Alabama,ALABAMA,15.22%,21.23%,11.35%,39.2%
Colbert County Alabama,ALABAMA,17.38%,22.9%,13.25%,38.3%
Crawford County Arkansas,ARKANSAS,20.68%,25.29%,13.42%,31.2%
Greene County Alabama,ALABAMA,18.08%,25.26%,13.9%,37.8%
Choctaw County Alabama,ALABAMA,17.35%,23.57%,13.37%,44.2%
Denali Borough Alaska,ALASKA,18.97%,22.96%,13.62%,46.6%
Izard County Arkansas,ARKANSAS,21.77%,26.54%,14.52%,27.3%
Macon County Alabama,ALABAMA,16.76%,23.37%,12.74%,34%
Gila County Arizona,ARIZONA,16.38%,24.42%,12.52%,52.4%
Petersburg Borough Alaska,ALASKA,23.61%,28.84%,17.04%,71.9%
Mohave County Arizona,ARIZONA,15.37%,23.07%,11.91%,30.6%
Lee County Alabama,ALABAMA,14.17%,19.37%,10.52%,32.9%
Escambia County Alabama,ALABAMA,17.35%,23.57%,13.37%,25.6%
Randolph County Alabama,ALABAMA,17.83%,23.5%,13.68%,27.2%
Benton County Arkansas,ARKANSAS,18.18%,21.71%,11.64%,40.4%
Hempstead County Arkansas,ARKANSAS,21.12%,25.89%,13.77%,23.3%
Dallas County Alabama,ALABAMA,18.08%,25.26%,13.9%,31.3%
Chambers County Alabama,ALABAMA,18.06%,24%,13.83%,23.8%
Haines Borough Alaska,ALASKA,18.97%,22.96%,13.62%,65.9%
